bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75693,2025-03-18,-33100.0,10155346518,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 170325 LCN 10155346518,9586,2025-03-18,-33100.0,BVC250000428,10155346518,CLT EFFET,Valider Impayé via escompte,100.0
75696,2025-03-18,-40000.0,9958190332,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150325 LCN 9958190332,9594,2025-03-19,7654.114,BEB24000173,9914952873,CLT EFFET,Validation Effet escompté en Banque,32.57352941176471
75723,2025-03-19,266727.687,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,33.75
75736,2025-03-24,-7000.0,10309251762,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200325 LCN 10309251762,9132,2025-01-13,7000.0,BEB24000096,10309251665,CLT EFFET,Validation Effet escompté en Banque,75.0
75739,2025-03-24,-7600.0,9914955395,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 210325 LCN 9914955395,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,40.0
75740,2025-03-24,18719.325,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010109449707,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,100.0
75753,2025-03-26,-74122.588,10155432848,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150325 LCN 10155432848,9625,2025-03-26,47369.214,BEB24000184,10155448659,CLT EFFET,Validation Effet escompté en Banque,37.63157894736842
75756,2025-03-26,-64400.57,10333769191,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250325 LCN 10333769191,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,37.5
75757,2025-03-26,205631.864,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,37.5
75768,2025-03-28,61734.653,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,33.75
75789,2025-04-02,-7600.0,9914955492,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280325 LCN 9914955492,9666,2025-04-03,17563.0,BEB24000193,9914965095,CLT EFFET,Validation Effet escompté en Banque,36.10294117647059
75844,2025-04-03,-39986.598,9914955880,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310325 LCN 9914955880,9666,2025-04-03,17563.0,BEB24000193,9914965095,CLT EFFET,Validation Effet escompté en Banque,37.35294117647059
